candidate_id,proposed_url,page_type,cluster,parent_url,commercial_parent,primary_intent,secondary_intents,district,brand,series,model,condition,gsc_evidence,gsc_clicks,gsc_impressions,gsc_position,commercial_value,local_value,topical_value,unique_content,internal_link_value,positive_score,cannibalization_risk,doorway_risk,thin_content_risk,uniqueness_source,required_inlinks,recommended_outlinks,priority,release_wave,status,reason,locked_core_cluster,cluster_lock_state
B0-0017,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,service,Core/Existing,/บริการ/,/บริการ/,รับซื้อโน้ตบุ๊ก,,,,,,,2,1.0,19.0,10.95,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0018,/บริการ/รับซื้อ-ipad-gen-10-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-ipad-อุบล/,/บริการ/รับซื้อ-ipad-อุบล/,iPad Gen 10,,,,,,,2,1.0,2.0,2.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-ipad-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,tablet,LOCKED
B0-0019,/บริการ/รับซื้อโน้ตบุ๊กจอแตก-อุบล/,service,Core/Existing,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,รับซื้อโน้ตบุ๊กจอแตก,,,,,,,2,0.0,1.0,27.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0020,/บริการ/รับซื้อ-iphone-15-pro-max-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-iphone-อุบล/,/บริการ/รับซื้อ-iphone-อุบล/,iPhone 15 Pro Max,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-iphone-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,mobile,LOCKED
B0-0021,/บริการ/รับซื้อ-iphone-15-pro-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-iphone-อุบล/,/บริการ/รับซื้อ-iphone-อุบล/,iPhone 15 Pro,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-iphone-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,mobile,LOCKED
B0-0022,/บริการ/รับซื้อ-cpu-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-อะไหล่คอม-อุบล/,/บริการ/รับซื้อ-อะไหล่คอม-อุบล/,รับซื้อ CPU,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-อะไหล่คอม-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,pc_hardware,LOCKED
B0-0023,/บริการ/รับซื้อ-ipad-มหาวิทยาลัยอุบล/,service,Core/Existing,/บริการ/,/บริการ/,iPad ม.อุบล,,,,,,,2,0.0,1.0,8.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,local_existing,LOCKED
B0-0024,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,service,Core/Existing,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,รับซื้อ Lenovo,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0025,/บริการ/รับซื้อ-macbook-จอแตก-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-macbook-อุบล/,/บริการ/รับซื้อ-macbook-อุบล/,MacBook จอแตก,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-macbook-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0026,/บริการ/รับซื้อโน้ตบุ๊ก-วารินชำราบ/,service,Core/Existing,/บริการ/,/บริการ/,โน้ตบุ๊ก วารินชำราบ,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,local_existing,LOCKED
B0-0027,/บริการ/รับซื้อ-steam-deck-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,รับซื้อ Steam Deck,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,gaming,LOCKED
B0-0028,/บริการ/รับซื้อ-ipad-อุบล/,service,Core/Existing,/บริการ/รับซื้อแท็บเล็ต-อุบล/,/บริการ/รับซื้อแท็บเล็ต-อุบล/,รับซื้อ iPad,,,,,,,5,11.0,235.0,7.99,5,4,5,4,3,26,0,0,0,Existing source content.,/บริการ/รับซื้อแท็บเล็ต-อุบล/,,P0,W0,EXISTING_OWNER,PROTECT_WINNER,tablet,LOCKED
B0-0029,/บริการ/รับซื้อลำโพง-jbl-marshall-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-เครื่องเสียง-อุบล/,/บริการ/รับซื้อ-เครื่องเสียง-อุบล/,รับซื้อลำโพง JBL Marshall,,,,,,,2,0.0,3.0,8.67,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-เครื่องเสียง-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,audio,LOCKED
B0-0030,/บริการ/รับซื้อ-dji-osmo-อุบล/,service,Core/Existing,/บริการ/รับซื้อกล้อง-อุบล/,/บริการ/รับซื้อกล้อง-อุบล/,DJI Osmo,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อกล้อง-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,camera,LOCKED
B0-0031,/บริการ/รับซื้อ-nintendo-switch-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,รับซื้อ Nintendo Switch,,,,,,,2,1.0,6.0,9.33,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,gaming,LOCKED
B0-0032,/บริการ/รับซื้อ-apple-อุบล/,service,Core/Existing,/บริการ/,/บริการ/,รับซื้อ MacBook/iMac/Apple,,,,,,,5,2.0,102.0,10.82,5,4,5,4,3,26,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,apple_ecosystem,LOCKED
B0-0033,/บริการ/รับซื้อคอมยกล็อต-อุบล/,service,Core/Existing,/บริการ/,/บริการ/,รับซื้อคอมยกล็อต,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,b2b_lot,LOCKED
B0-0034,/บริการ/รับซื้อกล้อง-canon-อุบล/,service,Core/Existing,/บริการ/รับซื้อกล้อง-อุบล/,/บริการ/รับซื้อกล้อง-อุบล/,รับซื้อ Canon,,,,,,,2,1.0,19.0,7.37,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อกล้อง-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,camera,LOCKED
B0-0035,/บริการ/รับซื้อ-macbook-แบตเสื่อม-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-macbook-อุบล/,/บริการ/รับซื้อ-macbook-อุบล/,MacBook แบตเสื่อม,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-macbook-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0036,/บริการ/รับซื้อเลนส์-canon-rf-ef-อุบล/,service,Core/Existing,/บริการ/รับซื้อเลนส์กล้อง-อุบล/,/บริการ/รับซื้อเลนส์กล้อง-อุบล/,รับซื้อเลนส์ Canon,,,,,,,2,0.0,2.0,15.5,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อเลนส์กล้อง-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,camera_lens,LOCKED
B0-0037,/บริการ/รับซื้อ-realme-อุบล/,service,Core/Existing,/บริการ/รับซื้อมือถือ-อุบล/,/บริการ/รับซื้อมือถือ-อุบล/,รับซื้อ realme,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อมือถือ-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,mobile,LOCKED
B0-0038,/บริการ/รับซื้อ-macbook-pro-m2-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-macbook-อุบล/,/บริการ/รับซื้อ-macbook-อุบล/,MacBook Pro M2,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-macbook-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0039,/บริการ/รับซื้อ-redmi-อุบล/,service,Core/Existing,/บริการ/รับซื้อมือถือ-อุบล/,/บริการ/รับซื้อมือถือ-อุบล/,รับซื้อ Redmi,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อมือถือ-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,mobile,LOCKED
B0-0040,/บริการ/รับซื้อ-imac-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-apple-อุบล/,/บริการ/รับซื้อ-apple-อุบล/,รับซื้อ iMac,,,,,,,2,2.0,7.0,8.29,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-apple-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,apple_ecosystem,LOCKED
B0-0041,/บริการ/รับซื้อแท็บเล็ต-อุบล/,service,Core/Existing,/บริการ/,/บริการ/,รับซื้อแท็บเล็ต,,,,,,,4,1.0,28.0,6.86,5,4,5,4,3,25,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,tablet,LOCKED
B0-0042,/บริการ/รับซื้อ-iphone-วารินชำราบ/,service,Core/Existing,/บริการ/,/บริการ/,iPhone วารินชำราบ,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,local_existing,LOCKED
B0-0043,/บริการ/รับซื้อ-xiaomi-อุบล/,service,Core/Existing,/บริการ/รับซื้อมือถือ-อุบล/,/บริการ/รับซื้อมือถือ-อุบล/,รับซื้อ Xiaomi,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อมือถือ-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,mobile,LOCKED
B0-0044,/บริการ/รับซื้อ-iphone-13-pro-max-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-iphone-อุบล/,/บริการ/รับซื้อ-iphone-อุบล/,iPhone 13 Pro Max,,,,,,,2,0.0,2.0,9.5,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-iphone-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,mobile,LOCKED
B0-0045,/บริการ/รับซื้อกล้อง-nikon-อุบล/,service,Core/Existing,/บริการ/รับซื้อกล้อง-อุบล/,/บริการ/รับซื้อกล้อง-อุบล/,รับซื้อ Nikon,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อกล้อง-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,camera,LOCKED
B0-0046,/บริการ/รับซื้อ-ps5-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,รับซื้อ PS5,,,,,,,2,3.0,6.0,8.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,gaming,LOCKED
B0-0047,/บริการ/รับซื้อ-iphone-อุบล/,service,Core/Existing,/บริการ/รับซื้อมือถือ-อุบล/,/บริการ/รับซื้อมือถือ-อุบล/,รับซื้อ iPhone,,,,,,,5,8.0,123.0,8.826016260162604,5,4,5,4,3,26,0,0,0,Existing source content.,/บริการ/รับซื้อมือถือ-อุบล/,,P0,W0,EXISTING_OWNER,PROTECT_WINNER,mobile,LOCKED
B0-0048,/บริการ/รับซื้อมือถือ-เดชอุดม/,service,Core/Existing,/บริการ/,/บริการ/,มือถือ เดชอุดม,,,,,,,4,3.0,20.0,4.85,5,4,5,4,3,25,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,local_existing,LOCKED
B0-0049,/บริการ/รับซื้อกล้อง-vlog-อุบล/,service,Core/Existing,/บริการ/รับซื้อกล้อง-อุบล/,/บริการ/รับซื้อกล้อง-อุบล/,กล้อง Vlog,,,,,,,2,0.0,1.0,6.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อกล้อง-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,camera,LOCKED
B0-0050,/บริการ/รับซื้อ-เครื่องเสียง-อุบล/,service,Core/Existing,/บริการ/,/บริการ/,รับซื้อเครื่องเสียง JBL/Marshall,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,audio,LOCKED
B0-0051,/บริการ/รับซื้อ-iphone-จอแตก-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-iphone-อุบล/,/บริการ/รับซื้อ-iphone-อุบล/,iPhone จอแตก,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-iphone-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,mobile,LOCKED
B0-0052,/บริการ/รับซื้อเครื่องเกมพกพา-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,รับซื้อเครื่องเกมพกพา,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,gaming,LOCKED
B0-0053,/บริการ/รับซื้อมือถือ-อุบล/,service,Core/Existing,/บริการ/,/บริการ/,รับซื้อโทรศัพท์มือถือ,,,,,,,5,65.0,870.0,7.879999999999999,5,4,5,4,3,26,0,0,0,Existing source content.,/บริการ/,,P0,W0,EXISTING_OWNER,PROTECT_WINNER,mobile,LOCKED
B0-0054,/บริการ/รับซื้อโน้ตบุ๊กเปิดไม่ติด-อุบล/,service,Core/Existing,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,รับซื้อโน้ตบุ๊กเปิดไม่ติด,,,,,,,2,0.0,1.0,30.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0055,/บริการ/รับซื้อโน้ตบุ๊ก-เดชอุดม/,service,Core/Existing,/บริการ/,/บริการ/,โน้ตบุ๊ก เดชอุดม,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,local_existing,LOCKED
B0-0056,/บริการ/รับซื้อกล้อง-อุบล/,service,Core/Existing,/บริการ/,/บริการ/,รับซื้อกล้อง,,,,,,,4,8.0,70.0,7.690000000000001,5,4,5,4,3,25,0,0,0,Existing source content.,/บริการ/,,P0,W0,EXISTING_OWNER,PROTECT_WINNER,camera,LOCKED
B0-0057,/บริการ/รับซื้อคอมสำนักงาน-อุบล/,service,Core/Existing,/บริการ/รับซื้อคอมบริษัท-อุบล/,/บริการ/รับซื้อคอมบริษัท-อุบล/,รับซื้อคอมสำนักงาน,,,,,,,2,0.0,2.0,7.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อคอมบริษัท-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,b2b_corporate,LOCKED
B0-0058,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,service,Core/Existing,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,รับซื้อ MSI,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0059,/บริการ/รับซื้อเลนส์-sony-fe-อุบล/,service,Core/Existing,/บริการ/รับซื้อเลนส์กล้อง-อุบล/,/บริการ/รับซื้อเลนส์กล้อง-อุบล/,รับซื้อเลนส์ Sony FE,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อเลนส์กล้อง-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,camera_lens,LOCKED
B0-0060,/บริการ/รับซื้อ-rtx-อุบล/,service,Core/Existing,/บริการ/รับซื้อการ์ดจอ-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/,รับซื้อ การ์ดจอ RTX,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อการ์ดจอ-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,pc_hardware,LOCKED
B0-0061,/บริการ/รับซื้อ-xbox-อุบล/,service,Core/Existing,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,รับซื้อ Xbox,,,,,,,2,0.0,3.0,8.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อ-เครื่องเกม-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,gaming,LOCKED
B0-0062,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,service,Core/Existing,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,รับซื้อ HP,,,,,,,0,0.0,0.0,,5,4,5,4,3,21,0,0,0,Existing source content.,/บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,notebook,LOCKED
B0-0063,/บริการ/รับซื้อสมาร์ทวอทช์-แก็ดเจ็ต-อุบล/,service,Core/Existing,/บริการ/,/บริการ/,รับซื้อสมาร์ทวอทช์/แก็ดเจ็ต,,,,,,,2,0.0,7.0,10.570000000000002,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,gadget,LOCKED
B0-0064,/บริการ/รับซื้อกล้อง-sony-อุบล/,service,Core/Existing,/บริการ/รับซื้อกล้อง-อุบล/,/บริการ/รับซื้อกล้อง-อุบล/,รับซื้อกล้อง Sony,,,,,,,4,1.0,23.0,11.78,5,4,5,4,3,25,0,0,0,Existing source content.,/บริการ/รับซื้อกล้อง-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,camera,LOCKED
B0-0065,/บริการ/รับซื้ออุปกรณ์ไอทียกล็อต-อุบล/,service,Core/Existing,/บริการ/รับซื้อคอมยกล็อต-อุบล/,/บริการ/รับซื้อคอมยกล็อต-อุบล/,รับซื้ออุปกรณ์ไอทียกล็อต,,,,,,,2,0.0,2.0,7.5,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อคอมยกล็อต-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,b2b_lot,LOCKED
B0-0066,/บริการ/รับซื้อจอคอม-อุบล/,service,Core/Existing,/บริการ/รับซื้อคอมพิวเตอร์-อุบล/,/บริการ/รับซื้อคอมพิวเตอร์-อุบล/,รับซื้อจอคอม,,,,,,,2,0.0,1.0,15.0,5,4,5,4,3,23,0,0,0,Existing source content.,/บริการ/รับซื้อทีวี-อุบล/,,P1,W0,EXISTING_OWNER,KEEP_OWNER,computer,LOCKED
