candidate_id,brand,series,proposed_url,parent_url,core_cluster,primary_intent,positive_score,cannibalization_risk,doorway_risk,thin_content_risk,release_wave,foundation_status,release_gate,required_inlinks,recommended_outlinks,reason
B0-0254,ASUS,ASUS Zenbook,/บริการ/รับซื้อ-asus-zenbook-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,notebook,รับซื้อ ASUS Zenbook อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0258,Acer,Acer Aspire,/บริการ/รับซื้อ-acer-aspire-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,notebook,รับซื้อ Acer Aspire อุบล,25,1,1,1,W2B,LOCKED_LATER_RELEASE,HOLD_NEXT_WAVE,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 hold: Broad consumer family; lower differentiation and resale-value signal than Predator/Zenbook/Yoga. Hold until W2A/W2B winners establish demand.
B0-0257,Acer,Acer Predator,/บริการ/รับซื้อ-acer-predator-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,notebook,รับซื้อ Acer Predator อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0259,Acer,Acer Swift,/บริการ/รับซื้อ-acer-swift-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,notebook,รับซื้อ Acer Swift อุบล,25,1,1,1,W2B,LOCKED_LATER_RELEASE,HOLD_NEXT_WAVE,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 hold: Valid premium-light family but Acer parent GSC is weak and release would add three Acer series at once. Hold to avoid breadth before evidence.
B0-0275,Dell,Dell G Series,/บริการ/รับซื้อ-dell-g-series-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,notebook,รับซื้อ Dell G Series อุบล,25,1,1,1,W2B,LOCKED_LATER_RELEASE,HOLD_NEXT_WAVE,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 hold: Gaming intent is valid but overlaps the broader gaming-notebook cluster; prioritize one Dell premium family (XPS) before adding another Dell series.
B0-0273,Dell,Dell Inspiron,/บริการ/รับซื้อ-dell-inspiron-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,notebook,รับซื้อ Dell Inspiron อุบล,25,1,1,1,W2B,LOCKED_LATER_RELEASE,HOLD_NEXT_WAVE,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 hold: Very broad consumer intent with weaker unique valuation angle than XPS; hold until query/page evidence justifies a dedicated owner.
B0-0274,Dell,Dell XPS,/บริการ/รับซื้อ-dell-xps-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,notebook,รับซื้อ Dell XPS อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0268,HP,HP EliteBook,/บริการ/รับซื้อ-hp-elitebook-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,notebook,รับซื้อ HP EliteBook อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0267,HP,HP Omen,/บริการ/รับซื้อ-hp-omen-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,notebook,รับซื้อ HP Omen อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0269,HP,HP ProBook,/บริการ/รับซื้อ-hp-probook-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,notebook,รับซื้อ HP ProBook อุบล,25,1,1,1,W2B,LOCKED_LATER_RELEASE,HOLD_NEXT_WAVE,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,"Batch 4 hold: Business intent overlaps EliteBook. Release EliteBook first, then use GSC/query evidence to decide whether ProBook deserves a separate owner."
B0-0264,Lenovo,Lenovo IdeaPad,/บริการ/รับซื้อ-lenovo-ideapad-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,notebook,รับซื้อ Lenovo IdeaPad อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0265,Lenovo,Lenovo Yoga,/บริการ/รับซื้อ-lenovo-yoga-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,notebook,รับซื้อ Lenovo Yoga อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-lenovo-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0279,MSI,MSI Cyborg,/บริการ/รับซื้อ-msi-cyborg-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,notebook,รับซื้อ MSI Cyborg อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0288,AMD,AMD Radeon RX 9000 Series,/บริการ/รับซื้อ-radeon-rx-9000-series-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/,pc_hardware,รับซื้อ AMD Radeon RX 9000 Series อุบล,25,1,1,1,W2B,RC_SELECTED,PENDING_W2A_OBSERVATION,/บริการ/รับซื้อการ์ดจอ-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/; /บทความ/gpu-second-hand/,Batch 4 RC selected; quality gate passed. Do not release until W2A observation/deployment gate is satisfied.
B0-0294,Canon,Canon EOS DSLR Series,/บริการ/รับซื้อกล้อง-canon-eos-dslr-series-อุบล/,/บริการ/รับซื้อกล้อง-canon-อุบล/,camera,รับซื้อ Canon EOS DSLR Series อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อกล้อง-canon-อุบล/,/บริการ/รับซื้อกล้อง-canon-อุบล/; /บริการ/รับซื้อกล้อง-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0255,ASUS,ASUS ExpertBook,/บริการ/รับซื้อ-asus-expertbook-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,notebook,รับซื้อ ASUS ExpertBook อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-asus-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0260,Acer,Acer TravelMate,/บริการ/รับซื้อ-acer-travelmate-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,notebook,รับซื้อ Acer TravelMate อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-acer-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0276,Dell,Dell Alienware,/บริการ/รับซื้อ-dell-alienware-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,notebook,รับซื้อ Dell Alienware อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0277,Dell,Dell Vostro,/บริการ/รับซื้อ-dell-vostro-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,notebook,รับซื้อ Dell Vostro อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-dell-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0271,HP,HP Envy,/บริการ/รับซื้อ-hp-envy-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,notebook,รับซื้อ HP Envy อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0270,HP,HP Pavilion,/บริการ/รับซื้อ-hp-pavilion-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,notebook,รับซื้อ HP Pavilion อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-hp-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0282,MSI,MSI Raider,/บริการ/รับซื้อ-msi-raider-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,notebook,รับซื้อ MSI Raider อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0281,MSI,MSI Stealth,/บริการ/รับซื้อ-msi-stealth-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,notebook,รับซื้อ MSI Stealth อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0280,MSI,MSI Thin,/บริการ/รับซื้อ-msi-thin-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,notebook,รับซื้อ MSI Thin อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0283,MSI,MSI Vector,/บริการ/รับซื้อ-msi-vector-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,notebook,รับซื้อ MSI Vector อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/,/บริการ/รับซื้อโน้ตบุ๊ก-msi-อุบล/; /บริการ/รับซื้อโน้ตบุ๊ก-อุบล/,Qualified architecture candidate; implement only with unique page content.
B0-0287,NVIDIA,NVIDIA GTX 16 Series,/บริการ/รับซื้อ-gtx-16-series-อุบล/,/บริการ/รับซื้อ-rtx-อุบล/,pc_hardware,รับซื้อ NVIDIA GTX 16 Series อุบล,25,1,1,1,W2C,LOCKED_LATER_RELEASE,OBSERVE_W2A_BEFORE_RELEASE,/บริการ/รับซื้อ-rtx-อุบล/,/บริการ/รับซื้อการ์ดจอ-อุบล/; /บทความ/gpu-second-hand/,Qualified architecture candidate; implement only with unique page content.
